iter	RMSE
0	29.08204114
1	29.0426774
2	28.9954584
3	28.97643211
4	28.92946825
5	28.89204128
6	28.83497145
7	28.79435975
8	28.75937278
9	28.70321506
10	28.65820612
11	28.60784884
12	28.59138519
13	28.55392754
14	28.52726634
15	28.47784748
16	28.43365005
17	28.39136866
18	28.36285071
19	28.32331998
20	28.303442
21	28.27039276
22	28.21816009
23	28.15381326
24	28.11880341
25	28.07535188
26	28.02335192
27	28.00346989
28	27.97175976
29	27.9177019
30	27.8674181
31	27.8122417
32	27.75630125
33	27.72811004
34	27.69719826
35	27.67350446
36	27.64742765
37	27.60976415
38	27.58024241
39	27.55043259
40	27.52793598
41	27.51994872
42	27.49880585
43	27.46040262
44	27.43260693
45	27.40450873
46	27.36600596
47	27.33440023
48	27.31101757
49	27.28687674
50	27.25010969
51	27.21436538
52	27.17239664
53	27.15164494
54	27.12014015
55	27.09072114
56	27.05988514
57	27.02714168
58	27.02660669
59	26.97570673
60	26.94958812
61	26.91483325
62	26.87633752
63	26.84263868
64	26.81094022
65	26.77518991
66	26.72547322
67	26.70470677
68	26.68440568
69	26.65567143
70	26.62407909
71	26.60255853
72	26.56426471
73	26.54298804
74	26.51033462
75	26.49513636
76	26.45430685
77	26.4277397
78	26.40709718
79	26.36927753
80	26.32377161
81	26.30711106
82	26.28517746
83	26.2553606
84	26.23132943
85	26.18877919
86	26.18217944
87	26.15960568
88	26.13232174
89	26.11281378
90	26.07126475
91	26.03090987
92	26.00627402
93	25.98133423
94	25.95638983
95	25.91371071
96	25.87044468
97	25.84236755
98	25.81744392
99	25.78766327
100	25.74714195
101	25.71424779
102	25.68113865
103	25.66395576
104	25.63238255
105	25.600302
106	25.58691047
107	25.5672104
108	25.53660436
109	25.53660318
110	25.51350935
111	25.50037317
112	25.46750331
113	25.4294821
114	25.40235652
115	25.36961908
116	25.34646403
117	25.31330431
118	25.28212111
119	25.24690337
120	25.22980952
121	25.19751724
122	25.15904494
123	25.13720274
124	25.10745108
125	25.08357341
126	25.05477932
127	25.02935673
128	25.00646037
129	24.98641246
130	24.95166253
131	24.93229245
132	24.90311907
133	24.87720031
134	24.84275733
135	24.81861982
136	24.78106169
137	24.73135481
138	24.70303479
139	24.67946401
140	24.66454158
141	24.64491475
142	24.62421182
143	24.60103157
144	24.56785028
145	24.55115663
146	24.50514824
147	24.49245278
148	24.47356082
149	24.44514137
150	24.42880294
151	24.40958329
152	24.3903997
153	24.35604929
154	24.32794157
155	24.29521873
156	24.26520933
157	24.24191913
158	24.21966575
159	24.19378754
160	24.16116687
161	24.13478268
162	24.11248657
163	24.08848408
164	24.06856618
165	24.0437153
166	24.02779524
167	23.99099478
168	23.95875552
169	23.93279545
170	23.915019
171	23.88958555
172	23.86182152
173	23.84676869
174	23.82601063
175	23.79129699
176	23.76216535
177	23.73324892
178	23.71741633
179	23.69733857
180	23.6787478
181	23.65581994
182	23.62385884
183	23.58463481
184	23.57088387
185	23.55033903
186	23.53437081
187	23.51706374
188	23.50352476
189	23.48069674
190	23.46171156
191	23.43881945
192	23.40163206
193	23.37949131
194	23.35879898
195	23.34604451
196	23.3305287
197	23.31232801
198	23.28540786
199	23.26217992
200	23.2453971
201	23.21598436
202	23.19695502
203	23.17591658
204	23.16005772
205	23.13894624
206	23.12042584
207	23.10104955
208	23.08286212
209	23.06284129
210	23.03454867
211	23.00701762
212	22.98955449
